Vertical,Jurisdiction,Law / Bill,Type,Requirement (short),Status,Effective / Deadline,Confidence,Source
Higher Ed,Federal,Clery Act 20 U.S.C. §1092(f); HEOA 2008; EAGLES Act (pending),notification/campus-police,"Annual security report, timely warnings, immediate emergency notification",Enacted,1990; 2008,High,rems.ed.gov
Higher Ed,Virginia,Va. Code §23.1-803/804/805,notification+EOP+threat-assessment,Emergency broadcast system; crisis plan; threat-assessment team,Enacted,Post-VA Tech,High,law.lis.virginia.gov 23.1-803
Higher Ed,Illinois,Campus Security Enhancement Act 2008 (110 ILCS 12),EOP+threat-assessment,All-hazards plan + violence-prevention plan; annual training,Enacted,2008,High,ilga.gov ActID=1054
Higher Ed,Connecticut,Conn. Gen. Stat. §10a-156a (PA 13-3),EOP+threat-assessment,Security protocol plan filed w/ DESPP; threat-assessment team,Enacted,2013/2014,High,cga.ct.gov chap_185b
Higher Ed,Texas,Tex. Educ. Code §51.217/.218,EOP+notification,Multihazard EOP + emergency alert system,Enacted,2011/2019,High,texas.public.law 51.217
Higher Ed,Florida,Fla. Stat. §1006.601 (2026),EOP+notification,"Active-assailant plans, campus-wide alert, reunification, risk assessments",Enacted,5/15/2026,High,flsenate.gov 2026/757
Higher Ed,CA / NJ / NY / PA / CO / OH,Educ./statutory campus-safety provisions,notification/EOP/grant,"State campus-safety, notification, threat, or grant requirements",Enacted,Varies,High,state codes
Higher Ed,Campus police statutes,NC Ch.74G; MI; MA c.22C §63; GA O.C.G.A. §20-3-72,campus-police (permissive),Authorize/cert. campus police with arrest powers,Enacted,Varies,High,state codes
Hospitality,AHLA / Brands,"5-Star Promise; Marriott, Hilton, Hyatt, IHG, Wyndham; MGM/Caesars CBA",brand-mandate (private),Employee safety devices for hotel staff (voluntary/contractual),Active (committed),2018; targets 2020,Med,ahla.com/5-star
Hospitality,New Jersey,S2986 / P.L.2019 c.123,device-mandate,Hotels >100 rooms: free panic device to lone-room workers,Enacted,1/1/2020,High,pub.njleg.gov PL19/123
Hospitality,Illinois,"Hotel & Casino Employee Safety Act, 820 ILCS 325",device-mandate,All hotels/casinos: free panic button for lone-room workers,Enacted,7/1/2020,High,law.justia.com 820 ILCS 325
Hospitality,Washington,RCW 49.60.515 (SB5258; HB1524),device-mandate,Isolated employees (housekeepers) get panic button,Enacted,2020/2021; HB1524 1/1/2026,High,app.leg.wa.gov 49.60.515
Hospitality,Cities (enacted),NYC Safe Hotels Act (LL104/2024); Chicago; Seattle; Miami Beach; LA City; LA County; Long Beach; Santa Monica; West Hollywood; Oakland; Sacramento City+County; Glendale; Anaheim; Irvine,device-mandate,Municipal hotel panic-button/safety-device ordinances,Enacted,NYC 5/3/2025; others vary,High,municipal codes
Hospitality,Pending,PA SB976; VA HB967 (150+ rooms); MA H.1657 (25+ rooms); HI SB1256; Boston Docket 2024-0759,device-mandate,Statewide/city hotel panic-button bills,Pending,n/a,High/Med,legislature sites
Hospitality,Correction,Philadelphia 'hotel panic ordinance',device-mandate,Widely cited online; NO primary phila.gov ordinance located — likely erroneous,None-found / likely-erroneous,n/a,Low,roarforgood.com
Retail,Federal,OSHA GDC; Pub. 3153 (late-night retail guidance),enforcement/guidance,No retail standard; voluntary late-night guidance,Enacted (tool) / guidance,In force,High,osha.gov
Retail,New York,Retail Worker Safety Act L.2024 c.308 (amended 2025); Labor Law §27-e,program+training+device,Retailers 10+: WPV policy + training; 500+ employees: silent response button,Enacted,Policy 6/2/2025; button 1/1/2027,High,dol.ny.gov retail-wpv
Retail,California,SB553 → Labor Code §6401.9,program+training,"General-industry WVP plan, log, training; covers retail",Enacted,7/1/2024,High,dir.ca.gov general-industry
Retail,Washington,HB1524 (2025) → RCW 49.60.515,device+lone-worker,Isolated workers (incl. retail): carry-able panic button; training,Enacted,1/1/2026,High,wa-law.org HB1524
Retail,Florida,Convenience Business Security Act §§812.171–.175,late-night+device+training,"Convenience stores 11pm-5am: silent alarm, cameras, drop safe, lighting, training",Enacted,Since 1990,High,flsenate.gov Ch.812
Retail,Louisiana,HB1238 / Act 342 (2026) 'Behind the Counter Protection Act',penalty,Enhanced penalties for assault on retail/food-service employees,Enacted,8/1/2026,High,ogletree.com LA
Retail,Pending / dead / vetoed,"NJ A4419 (pending, 30+ emp — NOT enacted); MN HF3528 (dead); LA SB223 (failed); VA HB1919 (VETOED 3/2025); AR HB1159 (dead)",program/device,Retail WPV bills not in force,Pending/Dead/Vetoed,n/a,High,legiscan (by state)
General-industry,California,SB553 → Labor Code §6401.9,general-WPV-program,"ONLY enacted all-employer WPV mandate: plan, log, annual training",Enacted,7/1/2024; standard by 12/31/2026,High,dir.ca.gov general-industry
General-industry,New York,Labor Law §27-b,public-employer,"Public employers 20+: WPV prevention program, risk eval, training",Enacted,In force,High,law.justia.com NY LAB 27-b
General-industry,Maryland,Davis Martinez Act (HB176 2025),public-employer,MOSH public-sector WPV standard,Enacted (standard pending),Standard due 10/1/2026,High,labor.maryland.gov
General-industry,Washington,HB1524 (2025),lone-worker,Isolated employees across hotels/retail/security/property services: panic button,Enacted,1/1/2026,High,app.leg.wa.gov 49.60.515
General-industry,Virginia,HB1919 (2025),general-WPV-program,Would require 100+ employers to maintain WPV policy,Vetoed (3/24/2025),n/a,High,jdsupra.com VA veto
General-industry,New Jersey,A4419,general-WPV-program (retail),Retail WPV plans/training + panic (30+ employees),Pending (NOT enacted),n/a,Low-needs-check,legiscan NJ A4419
